Nome antigo,Nome novo,Status
AV05902E-PAL-FRA.jpg,Madagascar - PAL - FRA.jpg,RENOMEADO
AV05902E.jpg,Madagascar.jpg,RENOMEADO
AV05905L.jpg,Madagascar (2).jpg,RENOMEADO
AV06001W-PAL-AUS.jpg,THUG 2 - PAL - AUS.jpg,RENOMEADO
AV06001W-PAL-GBR.jpg,THUG 2 - PAL - GBR.jpg,RENOMEADO
AV06001W.jpg,THUG 2.jpg,RENOMEADO
AV06101W.jpg,American Chopper.jpg,RENOMEADO
AV06201W.jpg,Cabela's Big Game Hunter 2005 Adventures.jpg,RENOMEADO
AV06301W-PAL-AUS.jpg,Cabela's Deer Hunt 2005 Season - PAL - AUS.jpg,RENOMEADO
AV06301W.jpg,Cabela's Deer Hunt 2005 Season.jpg,RENOMEADO
AV06401W-PAL-AUS.jpg,Bicycle Casino - PAL - AUS.jpg,RENOMEADO
AV06401W-PAL-DEU.jpg,Bicycle Casino - PAL - DEU.jpg,RENOMEADO
AV06401W-PAL-GBR.jpg,Bicycle Casino - PAL - GBR.jpg,RENOMEADO
AV06401W.jpg,Bicycle Casino.jpg,RENOMEADO
AV06501A.jpg,Monster Garage.jpg,RENOMEADO
AV06601W.jpg,Greg Hastings' Tournament Paintball.jpg,RENOMEADO
AV06901K.jpg,True Crime New York City.jpg,RENOMEADO
AV06902E.jpg,True Crime New York City (2).jpg,RENOMEADO
AV07001W-PAL-GBR.jpg,XmenFINAL - PAL - GBR.jpg,RENOMEADO
AV07001W.jpg,XmenFINAL.jpg,RENOMEADO
AV07101W-PAL-GBR.jpg,X-Men Legends 2 Rise of Apocalypse - PAL - GBR.jpg,RENOMEADO
AV07101W-PAL-NLD.jpg,X-Men Legends 2 Rise of Apocalypse - PAL - NLD.jpg,RENOMEADO
AV07101W.jpg,X-Men Legends 2 Rise of Apocalypse.jpg,RENOMEADO
AV07102E.jpg,X-Men Legends 2 Rise of Apocalypse (2).jpg,RENOMEADO
AV07201W.jpg,Shrek SuperSlam.jpg,RENOMEADO
AV07301W-PAL-GBR.jpg,American Wasteland - PAL - GBR.jpg,RENOMEADO
AV07301W.jpg,American Wasteland.jpg,RENOMEADO
AV07501W.jpg,Gun.jpg,RENOMEADO
AV07701W.jpg,Cabela's Outdoor Adventures.jpg,RENOMEADO
AV07802W.jpg,DOOM 3 RoE.jpg,RENOMEADO
AV07901W.jpg,American Chopper 2 Full Throttle.jpg,RENOMEADO
AV08001W.jpg,Shamu's Deep Sea Adventures.jpg,RENOMEADO
AV08101W.jpg,Call of Duty 2 Big Red One.jpg,RENOMEADO
AV08104W.jpg,Call of Duty 2 Big Red One (CE).jpg,RENOMEADO
AV08201W-PAL-AUS.jpg,Dangerous 2 - PAL - AUS.jpg,RENOMEADO
AV08201W.jpg,Dangerous 2.jpg,RENOMEADO
AV08402W-PAL-AUS.jpg,World Series of Poker - PAL - AUS.jpg,RENOMEADO
AV08402W-PAL-GBR.jpg,World Series of Poker - PAL - GBR.jpg,RENOMEADO
AV08402W.jpg,World Series of Poker.jpg,RENOMEADO
AV08501W-PAL-AUS.jpg,TY the Tasmanian Tiger™ 3 - PAL - AUS.jpg,RENOMEADO
AV08501W.jpg,TY the Tasmanian Tiger™ 3.jpg,RENOMEADO
AV08701W.jpg,GHTP Max'd.jpg,RENOMEADO
AV08805W.jpg,Over the Hedge.jpg,RENOMEADO
AV09101W.jpg,The Hustle.jpg,RENOMEADO
AV09201W-PAL-GBR.jpg,Marvel Ultimate Alliance - PAL - GBR.jpg,RENOMEADO
AV09201W.jpg,Marvel Ultimate Alliance.jpg,RENOMEADO
AV09304W.jpg,Call of Duty 3.jpg,RENOMEADO
AV09306E.jpg,Call of Duty 3 (2).jpg,RENOMEADO
AV09401W-PAL-DEU.jpg,Tony Hawk's Project 8 - PAL - DEU.jpg,RENOMEADO
AV09401W-PAL-FRA.jpg,Tony Hawk's Project 8 - PAL - FRA.jpg,RENOMEADO
AV09401W.jpg,Tony Hawk's Project 8.jpg,RENOMEADO
AW00101J.jpg,GUILTY GEAR ISUKA.jpg,RENOMEADO
AY00201K.jpg,Stubbs the Zombie.jpg,RENOMEADO
AY00202E.jpg,Stubbs the Zombie (2).jpg,RENOMEADO
AY00401K.jpg,Dreamfall.jpg,RENOMEADO
BA00101J.jpg,Digimon Battle Chronicle.jpg,RENOMEADO
BA00102A.jpg,Digimon Rumble Arena 2.jpg,RENOMEADO
BA00202J.jpg,デジモンワールドＸ.jpg,RENOMEADO
BA00203A.jpg,DigimonWorld4.jpg,RENOMEADO
BB00202E.jpg,Dance UK.jpg,RENOMEADO
BM00102E-PAL-DEU.jpg,Chase - PAL - DEU.jpg,RENOMEADO
BM00102E-PAL-FRA.jpg,Chase - PAL - FRA.jpg,RENOMEADO
BM00102E.jpg,Chase.jpg,RENOMEADO
BM00103A.jpg,Chase (2).jpg,RENOMEADO
BM00201A.jpg,Reign Of Fire.jpg,RENOMEADO
BM00202E-PAL-DEU.jpg,Reign Of Fire - PAL - DEU.jpg,RENOMEADO
BM00202E-PAL-FRA.jpg,Reign Of Fire - PAL - FRA.jpg,RENOMEADO
BM00202E.jpg,Reign Of Fire (2).jpg,RENOMEADO
BM00301K.jpg,Project Zoo.jpg,RENOMEADO
BM00302E-PAL-DEU.jpg,Project Zoo - PAL - DEU.jpg,RENOMEADO
BM00302E.jpg,Project Zoo (2).jpg,RENOMEADO
BM00601A.jpg,Carmen SanDiego.jpg,RENOMEADO
BR00101J.jpg,GalaxyAngel.jpg,RENOMEADO
BS00101A-NTSC-U-Platinum.jpg,Morrowind - NTSC - U - PLATINUM.jpg,RENOMEADO
BS00101A.jpg,Morrowind.jpg,RENOMEADO
BS00401A.jpg,Pirates of the Caribbean.jpg,RENOMEADO
BS00402E-PAL-DEU.jpg,Pirates of the Caribbean - PAL - DEU.jpg,RENOMEADO
BS00402E-PAL-ESP.jpg,Pirates of the Caribbean - PAL - ESP.jpg,RENOMEADO
BS00402E-PAL-FRA.jpg,Pirates of the Caribbean - PAL - FRA.jpg,RENOMEADO
BS00402E.jpg,Pirates of the Caribbean (2).jpg,RENOMEADO
BS00503A.jpg,Morrowind Game of the Year.jpg,RENOMEADO
BS00505E.jpg,Morrowind Game of the Year (2).jpg,RENOMEADO
BS00601A.jpg,IHRA.jpg,RENOMEADO
BS00701A.jpg,Call of Cthulhu Dark Corners of the Ear.jpg,RENOMEADO
